Company,Title,Location,Link
2U / edX,"Sr Manager, Cybersecurity OperationsNewCape Town, South Africa",,https://job-boards.greenhouse.io/2u/jobs/8501020002
HMH (Houghton Mifflin Harcourt),Français (Canada),,https://careers.hmhco.com/jobs?locale=fr_CA
Khan Academy,"Data Analyst I, Analytics Reporting (24 months fixed-term)tags.newMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7818434
Khan Academy,"English Chemistry Video Content Creator, Grade 11- 12 (Freelancer), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156991
Khan Academy,"Manager, Partnerships and FundingNew Delhi/Bangalore/Mumbai [Hybrid]",,https://job-boards.greenhouse.io/khanacademy/jobs/7765059
Khan Academy,"Math Video Creator Freelance (Grades 11-12), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7358482
Khan Academy,"Project Associate (Odisha)Bhubaneswar, Odisha",,https://job-boards.greenhouse.io/khanacademy/jobs/6907425
Khan Academy,"Senior AI Engineer (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7724300
Khan Academy,"Senior Accounting Manager, RevenueMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7746774
Khan Academy,"Senior Fullstack Engineer I, Content Platform (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7687472
Khan Academy,"Senior Fullstack Engineer II, Khan KidsSan Mateo, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7445375
Khan Academy,Training Coordinator - KarnatakaKarnataka,,https://job-boards.greenhouse.io/khanacademy/jobs/7244562
Khan Academy,"Training Coordinator - TelanganaHyderabad, Telangana",,https://job-boards.greenhouse.io/khanacademy/jobs/7786785
